Course Number,Course Title,Description,Terms Offered,Equivalent Courses,Prerequisites,Instructors
HMRT 24823,International Human Rights Law and Practice. 100 Units.,"This course will introduce students to the legal architecture of international human rights law. Whilst the legal framing of rights emphasizes universality and the common good, its application reflects the historical compromises and political uncertainties of the times. This course will explore the tensions that are produced when politics meets 'the law' and examine the issues, actors, doctrines and practices that make up the human rights project. As human rights law is evolutive, we will look at how the human rights project has changed and evolved in connection to historical movements and post-colonial politics and has developed in order to address state violence, 'terrorism', minority rights, women's rights, gender and sexuality, transitional justice, health, and responsibility to protect, to name but a few. We will draw on case studies, including the United States, in order to examine the complicated role of the state as both perpetrator and protector and promoter of human rights. Students will be encouraged to think critically about the human rights project; how does it confront the underlying issues of injustice and abuse, as well as the inherent conceptual and structural limitations of supranational human rights mechanisms in addressing and providing remedies for the problems facing the world today.",Autumn,"HMRT 34823, PLSC 24823",,"Kathleen Cavanaugh, Executive Director, Senior Lecturer, Pozen Family Center for Human Rights"
HMRT 25011,Imagining the Sanctuary City: Field Research with Migrants and Asylum-Seekers in Chicago. 100 Units.,TBD,Autumn,HMRT 35011,,Lindsay Gifford
HMRT 25203,Hong Kong and Human Rights in Asia. 100 Units.,"The dynamic city of Hong Kong-a multicultural, special economic zone and a contested democracy with a vibrant popular press and a long history of support for regional grassroots politics-provides the setting for three weeks of investigation of human rights locally and across Asia. Students will become familiar with the human rights challenges facing Hong Kong and the region today. Topics as diverse as labor rights, gender and sexuality, democracy, access to health care and education, and freedom of expression will command our attention. We will also explore the relationship between art, exhibition practices, the media, and human rights. The University of Chicago's new Hong Kong campus will serve as our home base, but much of our time will be spent undertaking short field excursions to speak with human rights actors, journalists, curators, and artists in Hong Kong along with a tentative short trip to southern China. As the capstone of this intensive course, students will create digital, multimedia documentary projects to showcase their engagement with a particular regional or local human rights problem. These projects may combine interviews, photographs and videos, and the production of an original text or artwork.",,"EALC 24311, HIST 24311",Admission to the September Hong Kong: Human Rights in Asia program,M. Bradley & J. Ransmeier
HMRT 25270,Humanitarianism: Anthropological Perspectives. 100 Units.,"Humanitarianism has emerged as one of the key principles used by states and non-state agencies to justify or call for interventions in contemporary global crisis situations. From health crises, natural disasters and even political instability, humanitarianism has gained an unprecedented global currency as a language of justice. In the last two decades, anthropologists have shown the complexities of humanitarian interventions and its intended and unintended effects. In this course we trace what humanitarianism means, its moral and ethical underpinnings and what are the consequences of humanitarian action. The course will interrogate some of the philosophical, conceptual underpinnings of the idea and their implications in the real world. We will read a range of ethnographies including refugee rehabilitation in France, military interventions in Iraq, philanthropy in India to understand the ways in which humanitarianism has emerged as a global language of justice. The course will help students understand the problem of humanitarianism at both the global and the local levels and also bridge the gap between the normative and the actual.",This course was offered Autumn 2019,ANTH 25270,,S. Saha Roy
HMRT 25301,Putting the Human Back in Human Rights: Narratives of Migration. 100 Units.,"Across the world, there is a criminalization of migration. Does the human being become less human when they migrate? Do they lose rights? What are the stories that are being told about them, by others and by themselves, in the US and elsewhere? This course will look at the migrant experience in literature, journalism, poetry, film, and art. We will examine anti-immigrant texts as well as celebrations of migration, to see how storytelling shapes migrant destiny. We will pay close attention to the complexity of the individual immigrant, which is often at variance with broader group classification or ideology.",Spring,,,Suketu Mehta
HMRT 25317,Human Rights Capstone Practice Workshop I. 100.00 Units.,"This two-quarter long course exists to support 4th year students who are on the practice intensive capstone track. Students will meet every other week to plan and receive help executing their projects from inception to completion. At every step, student will receive feedback from their peers and from the Director of Practice. The workshop will also likely involve training, including trauma informed research methodology, media strategy, and other topics as relevant. This course is 0 credits in Autumn Quarter and 100 credits in Winter Quarter.",Autumn. Course will have 0 units in Autumn quarter 2023 and 100 units in Winter quarter 2024.,,,Pozen Center for Human Rights Director of Practice
HMRT 25318,Human Rights Capstone Practice Workshop II. 100 Units.,"This two-quarter long course exists to support 4th year students who are on the practice intensive capstone track. Students will meet every other week to plan and receive help executing their projects from inception to completion. At every step, student will receive feedback from their peers and from the Director of Practice. The workshop will also likely involve training, including trauma informed research methodology, media strategy, and other topics as relevant. This course is 0 credits in Autumn Quarter and 100 credits in Winter Quarter.",Winter. Course will have 0 units in Autumn quarter 2023 and 100 units in Winter quarter 2024.,,,Pozen Center for Human Rights Director of Practice
HMRT 25408,Human Rights in Japanese History. 100 Units.,"This course examines how the modern concept of ""rights"" and ""human rights"" localized in Japan and how different parties in Japan have used the language of human rights in attempts to remake Japan's social, cultural, and legal landscape. We will explore a wide range of topics including the translation of Eurocentric rights talk in East Asia, colonization and decolonization, statelessness and migration, transitional justice and reconciliation, biopolitical rights and bio-citizenship, indigenous rights, and women and gender-specific rights. Throughout the course we pay special attention to the ways in which rights talk and human-rights politics in Japan intertwine with the country's efforts to modernize and build the ""nation within the empire"" and, after its defeat in WWII, to close off its ""long postwar"" and reconcile with its neighbors. This is an introductory course, and no previous knowledge of Japanese history or the international history of human rights is required. However, you should be prepared to read (and watch, browse, and listen to) a wide array of primary and secondary sources that destabilize the most common vocabulary and concepts we take for granted in contemporary human-rights talk such as race, state responsibility, and the very notion of universalism so central to the idea of human rights.",Winter,"EALC 24508, HIST 24508",,K. Pan
HMRT 25561,"Justice at the Margins: Religion, Race, and Resistance Ethics. 100 Units.","How does race shape what we think about what is right and wrong, just and unjust? How about religion? Is ""justice"" a universal idea that stretches across social groups, or do our experiences as members of a religious and/or racial group have fundamentally affect our understanding(s) of justice? We'll begin by examining works by Aristotle, King, Rawls, and Nussbaum, asking what each theorist thinks justice entails and why. Along the way, we'll ask how stated and suppressed understandings of both ""race"" and ""religion"" inform their theories, as well as complicate and challenge them. Then we'll set these theories of justice in conversation with works by Francisco de Vitoria, W.E.B. Du Bois, James Baldwin, Cornel West, Traci C. West, and the Movement for Black Lives, each of which offers a protest against injustice in which ""race"" and ""religion"" play a prominent role. No previous knowledge required.",Autumn,"RLST 25561, CRES 22561, RDIN 22561",,Derek Buyan
HMRT 25706,Climate Justice. 100 Units.,"Climate injustice includes the disproportionate effects of climate change on people who benefit little from the activities that cause it, generally the poor, people of color, and people marginalized in other ways. Given the complex economic, physical, social, and political realities of climate change, what might climate justice entail? This course explores this complex question through an examination of classical and contemporary theories of justice; the gendered, colonial, and racial dimensions of climate change; and climate justice movements.",Winter,"ENST 25706, RDIN 25706, KNOW 25706, CEGU 25706, RLST 25706, PBPL 25706, GNSE 25702, GLST 25766",,Sarah Fredericks
HMRT 26365,Environmental Justice in the Calumet. 100 Units.,"As part of the Calumet Quarter, the Environmental Justice practicum will allow students to engage in research on an issue of environmental justice in the Calumet region. The class will partner with a local community organization to identify and study an environmental concern that disproportionately affects people of color in the area, by learning and implementing research methods in the pursuit of a final project that is presented to the community organization. Among the research methods to be employed will be key informant interviews and a general population survey. Students will be responsible for drafting and revising the survey instruments according to established survey research methods. Students will be expected to work collaboratively both with other students and members of the community in order to be maximally responsive to the needs of local residents.",Spring,"PBPL 26365, CHST 26365, ENST 26365",,Raymond Lodato
HMRT 26920,"Freedom, Justice and Legitimacy. 100 Units.","In this course we will explore two main questions, which are central to both contemporary political theory and political discourse: (1) how different concepts and conceptions of freedom ground different theories of social justice and political legitimacy and (2) how to understand the relationship between justice and legitimacy. To what extent are justice and legitimacy separate ideas? Does legitimacy require justice? Are just states necessarily legitimate? We will critically analyze and normatively assess how different contemporary theories have answered, whether explicitly or implicitly, such questions. The course will focus on five major contemporary theories: liberal-egalitarianism as represented by the work of John Rawls; libertarianism, as represented by the work of Robert Nozick, neo-Lockean theories as represented by the work of John Simmons, neo-republicanism as represented by the work of Philip Pettit, and neo-Kantian theories as represented by the work of Arthur Ripstein.",Autumn,"LLSO 26920, PLSC 36920, PLSC 26920",,C. Cordelli
HMRT 27002,"Norms, Ideas, and Identity in International Politics. 100 Units.","This advanced seminar examines the role of norms, ideas, and identities in world politics. The main goal is to help students understand academic and policy debates over the role of non-material factors in theories of international politics. Our emphasis will be on the tradition of constructivist scholarship in International Relations, its trajectory, and its critics. This course is intended for advanced undergraduates (political science majors and non-majors welcome) with prior coursework in International Relations.",,PLSC 27002,,R. Terman
HMRT 27306,U.S. Women and Gender. 100 Units.,"This course studies the history of women, gender relations, and ideas of sex difference from the emergence of the women's rights movement in the 1840s to the rise of women's liberation in the 1960s. Issues of work, rights, citizenship, race, and sexuality take center stage as we explore the social, political, and cultural forces that shaped women's lives and the aspirations and agency of women who sought to transform the rules and relations of gender in the United States. Readings include primary sources as well as classic and recent historical scholarship.",Winter,"CRES 23700, GNSE 27306, HIST 27306, LLSO 27306",,A. Stanley
HMRT 27380,The Ethics of Immigration. 100 Units.,"In this course we'll investigate philosophical problems underlying contemporary political controversies about immigration. Together, we'll discuss questions such as the following: What gives one group of people the right to forcibly exclude other people from coming to reside somewhere? Is there such a right at all? What moral authority do existing borders have? What role should the idea of ""the nation"" play in our thinking about immigration? Indeed, what exactly are nations? And is there a compelling case for the exclusion of immigrants that depends on a commitment to preserving a national culture? All of these questions touch on fundamental issues in political philosophy: the nature of citizenship and its relationship to culture, the source of legitimate authority, the justifiability of state coercion, the content and ground of human rights.",Autumn,PHIL 27380,,T. Zimmer
HMRT 27720,Race and Religion in Chicago. 100 Units.,"This course will explore the history of race and religion in the United States from the end of the Civil War to the twenty-first century. Taking Chicago as a case study, the course will introduce students to key topics in the study of race and religion in modern American history, considering especially how religion and race are each deeply imprinted by the other. Through close readings of the religious history and culture of Chicago over the last century and a half, the course will focus on Black-White racialization in Chicago, interrogating the construction of and contestation over whiteness among Catholics, Protestants, Jews, and new religious movements, as well as tracing the ""spiritual afterlife of slavery"" in Chicago's churches, synagogues, mosques, and other places of worship. The readings, guest lectures, field trips, and class discussions will also open out to consider other religious and racial issues and projects in Chicago (e.g., Latinx, Indian American, and Indigenous religious communities).",,"CRES 22720, CHST 27720, RLST 27720, HIST 27311",,Joel Brown
HMRT 28005,Illicit Religion: Contesting Religious Freedom under the Law in Modern America. 100 Units.,"The ""freedom of religion"" is one of the United States' most enduring and celebrated national ideals. And yet, rights of religious belief and practice have been contested consistently throughout the history of the nation, transforming both cultural practices and legal definitions of religion. Can American religion be radically free *and* fundamentally subject to the legal definitions and executive constraints of the state? Or is religious freedom under the law impossible, as some scholars have it? In this course, we will examine historical events, legal principles and academic debates over the meaning of religion's ""free exercise"" in the United States. Three case studies will ground our investigations: the Pueblo Indian dance controversy of the 1920s, the organization of the Church of Scientology in the 1950s and, finally, conflict over property and political rights at Oregon's Rajneeshpuram in the 1980s. Historical and cultural study will be augmented with theory and legal analysis by scholars of American religion and law. The term will end with student presentations on controversial developments in the exercise of religion since 1993's Religious Freedom Restoration Act (RFRA), including its enforcement of religious boundaries around drug use, gay marriage and women's reproductive health. No prerequisite knowledge of religious tradition, historical period or legal principle is necessary.",Spring,"AMER 28005, RLST 28005, HIST 27120",,Greg Chatterley
HMRT 28726,Discussing Disability. 100 Units.,"What does it mean to be disabled? Are narratives surrounding ""reasonable accommodation"". ""inclusion"" and ""diversity"" alert to the various intersections between disability, race, gender, sexual orientation or immigration status? How can we design a movement rooted in the lived and experiential accounts of disabled people? Informed by scholarly work, first person accounts, movies and other media by and for disabled people, ""Discussing Disability"" engages with these questions while pushing students to interrogate their own biases in how they approach disability.",,,,
HMRT 29120,Poverty Law and Policy Reform. 100 Units.,"This seminar seeks to give students a comprehensive understanding of the major anti-poverty programs in the United States with an emphasis on current challenges and reform proposals. We will spend the first half of the course exploring the implementation and evaluation of the programs that make up the traditional safety net for poor Americans: income supports, health insurance, and housing assistance. We will spend the rest of the quarter exploring topics that complicate the traditional social policy regime, including how the safety net is more robust for some groups, such as the elderly and veterans, than others. We will explore how the legal systems of immigration and incarceration hamper anti-poverty policy and how safety net programs address the needs of rural and Native Americans. Finally, we will investigate two recent developments in the field: social entrepreneurship and the critique of procedural rights.",,"LLSO 29120, PBPL 29120",No first year students; attendance on the first day of class is required.,Andrew Hammond
HMRT 29604,Topics in Critical Theory: Constitutionalism and Rights. 100 Units.,"(Brief/keyword description) - Historicizing and theorizing constitutionalism, rights and the law from the South. Particular empirical focus on South Africa, will also draw on Indian, other African and Latin American material, and think Euro-American genealogies of law and rights from these global Southern locations.",,ANTH 29604,3rd or 4th year standing,Kaushik Sunder Rajan
HMRT 29861,Radical America. 100 Units.,"This course explores various sorts of radicalisms in America (religious, political, sexual, environmental) from the eighteenth century to the present.",,"HIST 37119, HIST 27119",,J. Dailey
SSAD 21100,How Things Get Done in Cities and Why. 100 Units.,"Innovation. Prosperity. Democracy. Diversity. Cities long have been lauded as unique incubators of these social features. In contrast to the national level, the smaller scale and dense diversity of cities is thought to encourage the development of civic solutions that work for the many. But cities are inhabited by distinct groups of people with divergent interests and varied beliefs about how to address countless urban issues, such as creating jobs, delivering education, ensuring safe neighborhoods, promoting environmental sustainability, and taking care of the vulnerable. Many groups and organizations have an interest in the outcomes of these processes. Some take action to try to shape them to their own advantage, while others have few chances to make themselves heard. This course examines the social and political dynamics that undergird possible avenues for creating social change in cities, including interest representation, decision-making, and inclusion/exclusion. We will draw insights from multiple disciplines and explore a variety of substantive areas, such as housing, public safety, economic development, education, and the provision of social welfare. This course is part of the College Course Cluster program: Urban Design.",TBD,"ENST 25006, PBPL 25006, LLSO 21100, SOCI 20294",,
SSAD 23412,Cultural Studies in Education. 100 Units.,"The course begins with an introduction to the history, development, and basic tenets of cultural studies. Throughout our work together, we will examine how social class, race/ethnicity, and gender are represented in literacy, language, and cultural theories and research that examine reproduction and resistance. Using cultural studies as the point of departure, this course explores the intersection of culture, power, and language (both oral and written) within schools and school systems. In accordance with the tenets of cultural studies, the course is guided by the presumption that culture (as it is realized through the functioning of schools and their agents and the experiences, knowledge, expressions, dispositions, and meaning-making of people of color, women, and low-income or working-class individuals) is critical for understanding and intervening in the reproduction of social and economic inequality. In order to understand the reproduction of inequality we will examine theories and empirical investigations that explore how structures of domination and subordination are reproduced and social difference and inequality are reinscribed through the cultural practices that are reflected in schools. We will also analyze the extent to which the cultural practices and experiences of marginalized individuals simultaneously contribute to the process of reproduction and also affirm the emancipatory possibilities of resistance.",,"EDSO 23412, EDSO 63412, SSAD 63412",,
SSAD 28112,Community Organizing. 100 Units.,"This is a class about community organizing and how organizing brings about collective action. Through analysis of both historical and contemporary community organizing efforts, students will learn how organizing mobilizes people to gain power and influence over public policy and decision-making that directly impact them. Students will be introduced to different conceptual models of organizing, as well as how these models employ different theories of social change. The course emphasizes the ""nuts-and-bolts"" of organizing, ranging from strategic vision formulation to campaign development to one-on-one engagement. Students will have the opportunity to learn, discuss, and employ these different organizing skills and techniques through in-class exercises and group projects.",,"HMRT 34950, SSAD 48112, CHST 28112",,
PLSC 20817,"Race, Social Movements and American Politics. 100 Units.","Throughout history it has often been the collective action of the most oppressed groups that has changed political systems and hierarchies in unprecedented ways, providing a vehicle for the participation of the those formally disempowered. It is just such collective political action that we will examine in this course. Throughout the quarter we will concentrate on one particular form of collective resistance-social movements. Given the rise of race-based social movements such as the Immigrant's Rights Movement and the Movement for Black Lives, exploring this form of mobilization, voice and political participation seems especially pertinent to the study of American politics today. Under consideration throughout the quarter will be such questions as: What counts as a social movement? What motivates people to engage in such activity? What are the challenges that movements and their leaders face? What impact do social movements have on the distribution of the lives of marginal communities and the general functioning of the state?",Winter,"RDIN 40817, PLSC 40817, RDIN 20817",,Cathy Cohen and Ramon Garibaldo Valdez
PLSC 26000,Race and Politics. 100 Units.,"Fundamentally, this course is meant to explore how race, both historically and currently, influences politics in the United States. For example, is there something unique about the politics of African Americans? Does the idea and lived experience of whiteness shape one's political behavior? Throughout the quarter, students interrogate the way scholars, primarily in the field of American politics, have ignored, conceptualized, measured, modeled, and sometimes fully engaged the concept of race. We examine the multiple manifestations of race in the political domain, both as it functions alone and as it intersects with other identities such as gender, class, and sexuality.",Autumn,CRES 26000,,C. Cohen
SOCI 20269,Policing the City. 100 Units.,"This course explores the historical origins, evolution, and current manifestations of policing the United States. Using a political sociological perspective, this course explores policing in ways that will provide broader lessons about societal issues of social control, social order, race, class, crime, social psychology, and politics. The course examines key issues in policing, such as police brutality, racial profiling, and the management of social protest. It also reviews the historical origins of the policy in order to understand that modern day policing issues is much more of a continuation of the past than most think. Reading and course material will be discussed in relation to current events.",Spring,SOCI 30269,,R. Vargas
SOCI 20503,Sociology of Race and Racism. 100 Units.,"This course is designed to help students begin to develop their own informed perspectives on American racial ""problems"" by introducing them to the ways that sociologists deal with race and racism in the US. We will begin by talking generally about the basic structure of racial formations in the contemporary US, the mechanisms by which they are reproduced, and possibilities for resistance and change. In the second part of the course, we will turn to the issue of popular representations of people of color in the US. We will look specifically at how African American, Asian American Latino and Native American women and men are portrayed in popular culture.",Winter,CRES 12503,,J. Bell
SOCI 30233,Race in Contemporary American Society. 100 Units.,"This survey course in the sociology of race offers a socio-historical investigation of race in American society. We will examine issues of race, ethnic and immigrant settlement in the United States. Also, we shall explore the classic and contemporary literature on race and inter-group dynamics. Our investigative tools will include an analysis of primary and secondary sources, multimedia materials, photographic images, and journaling. While our survey will be broad, we will treat Chicago and its environs as a case study to comprehend the racial, ethnic, and political challenges in the growth and development of a city.",Autumn,"RDIN 20233, MAPS 30233, SOCI 20233",,S. Hicks-Bartlett
SSAD 21200,"Policing, Citizenship, and Inequality in Comparative Perspective. 100 Units.","Police provide an essential service for citizens - security and protection - without which the exercise of all other rights becomes heavily constrained. Police institutions are also the primary entity of the state with which most citizens come into direct contact. In practice, however, governments throughout the Americas (and beyond) have long struggled to organize police institutions such that they address societal demands for security, and that the deployment of coercion against citizens is applied equitably and constrained by law and external accountability. From São Paulo and Johannesburg to Chicago, police forces engage in widespread extrajudicial killings and torture that largely target marginalized sectors of society, including Afro-descendants, the poor, and those living in the urban periphery. At the same time, these groups are also underserved by their police, leaving them vulnerable to high rates of criminal violence. Through comparative analysis of police institutions in Latin America, the United States, and other regions, this course probes the ways in which police institutions shape the lived experiences of individuals and how police may help reproduce existing social inequalities.",,HMRT 21201,,
SSAD 21300,Global Mental Health. 100 Units.,"Global mental health has emerged as a priority for multilateral institutions like the World Health Organization and World Bank, for international non-governmental organizations, and for academic researchers alike. This course examines the foundations, practices, and critiques of this field. We will explore how sociocultural processes shape the experience of distress and mental illness; various cultures of healing, including Western psychiatry, and their power dynamics; gaps and inequalities in service provision; as well as approaches to and challenges of cross-cultural diagnosis/treatment/epidemiology. Building on these explorations, we will then turn to the tools, programs, and practices that constitute the somewhat amorphous movement called ""Global Mental Health."" Ongoing debates of this movement will also be examined. This course will take an interdisciplinary approach, with readings drawn from psychiatry, public policy, anthropology, history, sociology, and so on. Through discussions and assignments, students will develop skills to design, evaluate, and critically reflect upon global mental health interventions.",,"SSAD 41412, HLTH 21300",,
SSAD 25003,"Immigration, Law and Society. 100 Units.","Law is everywhere within the social world. It shapes our everyday lives in countless ways by permitting, prohibiting, protecting and prosecuting native-born citizens and immigrants alike. This course reviews the major theoretical perspectives and sociological research on the relationship between law and society, with an empirical focus on immigrants in the United States, primarily from Mexico and Central America. To begin, we explore the permeation of law in everyday life, legal consciousness, and gap between ""law on the books"" and ""law on the ground."" The topic of immigration is introduced with readings on the socio-legal construction of immigration status, theories of international migration, and U.S. immigration law at the national and subnational levels. We continue to study the social impact of law on immigrants through the topics of liminal legality; children, families, and romantic partnerships; policing, profiling, and raids; detention and deportation; and immigrants' rights. This course adopts a ""law in action"" approach centered on the social, political, and cultural contexts of law as it relates to immigration and social change. It is designed to expose you to how social scientists study and think about law, and to give you the analytical skills to examine law, immigration, and social change relationally.",TBD,"PBPL 25003, RDIN 25003, LACS 25003, SOCI 28079, HMRT 25003",,
SSAD 25112,Contemporary Immigration Policy and Practice. 100 Units.,"Today's immigration debates have brought to the fore conflicting visions regarding U.S. immigration policies, including the impacts and inequities faced by an estimated 11 million undocumented immigrants and their families. The debates as well impact who will be welcomed to migrate in the future and under what conditions. This course will start with a historical perspective and then take a deeper look at the ways in which our laws and accompanying systems shape the everyday lives of undocumented individuals and mixed-status families. We will look into the realities and consequences affecting multiple immigrant communities and cultures in the U.S. We will delve into the U.S. immigration policy debates and alternative visions. We'll consider how states and the federal government interface, collaborate and clash. As immigration, immigrants and refugees are today a central focus of U.S. politics and affected by these realities, we will explore related current and future political dynamics, advocacy, research and social movements upon the directions of immigration policies. Finally, we will explore the challenges faced in working within the intersection of immigration policy and people's lives, and how this work shapes our various roles as practitioners, policy makers, advocates and allies, including how social change is achieved at the local, statewide and national levels.",,"HMRT 45112, SSAD 45112",,
SSAD 26922,Structuring Refuge: U.S. Refugee Policy and Resettlement Practice. 100 Units.,"The UN estimates that there are 100 million forcibly displaced people around the world (UNHCR, 2022), with over 27 million refugees among them, but in 2022 only 57,500 refugees were resettled to third countries. Historically the U.S. has been the largest resettlement country, and in the U.S. refugees are entitled to federal, state, and local supports that other immigrants do without. At the same time, refugees in the U.S. are arguably subject to greater scrutiny and social control than most other un-incarcerated domestic populations. This course asks the central questions: How is refugee status politically constructed and experienced by individuals; what are the interrelationships between institutional actors and refugee policies, with what implications for service delivery; what does research tell us about the resettlement outcomes. and what drives these outcomes; and finally, what are the points of intervention for social workers in the resettlement process? We will address these questions by: 1. detangling the web of international and domestic policies that relate to the refugees' political identity, 2. focusing on U.S. resettlement, 3. analyzing resettlement policies and exploring the implications for social work practice targeted at integration, employment, and mental health, and 4. holding the inherent tension that can result from a dual focus on macro issues of scale and policy and micro issues related to the lived experience of human beings.",,"CHST 26922, RDIN 26922, SSAD 46922, CRES 26922, HMRT 46922",,
MAPS 31501,The Craft of History. 100 Units.,"This course offers a graduate-level introduction to professional historical methods, with a dual focus on contemporary historiographical trends and hands-on practice with archival material. Students will read one recent book each week and will use classroom discussions to consider how the text fits into larger arguments and trends in the field. Students will also work collaboratively to examine published, digital, and manuscript archives relating to a cluster of topics to be determined in the first two weeks of the quarter. Advanced undergraduates, particularly students with a strong interest in archival research, may enroll with instructor permission.",Winter,,,John McCallum
PBPL 27809,Violence in the Early Years. 100 Units.,"This course will address issues related to children's exposure to violence. Classes will cover topics including, but not limited to, the history of violence against children (infanticide, etc), children's literature, parental violence towards children, school-related violence, practices such as female genital mutilation, and other policy-relevant issues related to violence in children's lives. We will analyze policies and reforms, review relevant research on each topic, and examine implications of the findings to policy and practice.",TBD,,,A. Adukia
PLSC 21820,Global Justice and the Ethics of Immigration. 100 Units.,"This seminar introduces urgent moral and political questions in international affairs, with a particular focus on human rights, global inequality, colonialism and decolonization, structural injustice, and immigration. Addressed ethical questions will include: How should we understand the demands of social and distributive justice beyond state borders? Are economic inequalities between countries unjust? If so, why? What do affluent countries owe to less affluent countries? Who should bear responsibility for structural and historical injustices? Is there a human right to immigrate? Do states have a right to close their borders to immigrants? Do states have a right to constrain their citizens' ability to emigrate? We will address these and other ethical questions by reading and critically assessing important texts written by leading scholars within the fields of political philosophy, postcolonial theory, legal scholarship and applied ethics. The seminar requires no prior background.",Spring,"CRES 21820, HMRT 21820",,C. Cordelli
PPHA 32760,Global Development and Social Welfare. 100 Units.,"The persistence of disparities in social development across countries is one of the major problems societies struggle to understand and address. This course will critically examine the major theories of global development along with contemporary debates relating to international social welfare. Students will assess how political, economic, historical, and environmental factors influence different nations' development trajectories, and compare how alternative models of service delivery and social intervention serve or fail to serve their intended populations. The geographic focus of the course will be Latin America and Africa, though case studies may also be drawn from other regions of the world. The course will be useful for both students who have had previous international experience as well as students who are interested in international social work and/or development practice.",,SSAD 62912,,
SSAD 20550,Food Insecurity and Food Policy in the U.S. 100 Units.,"Despite the economic recovery following the Great Recession, there continue to be approximately 40 million individuals in the U.S. who experience food insecurity. In this course, we will explore the paradox of how so many people struggle to afford an adequate diet within the borders of the world's top food exporter and the extent to which inequality is embedded in the U.S. food system and in American social policy. We will examine the basic structure of our domestic food system, the causes and consequences of food insecurity, the effectiveness of current public and private responses, and how new challenges in the 21st century may influence current and future strategies. Among the diverse topics we will delve into over the quarter are the recent efforts to reduce access to the Supplemental Nutrition Assistance Program (SNAP), which remains the primary mechanism for addressing food insecurity; the economic challenges experienced by workers throughout the food system, from farm to table; the intersection of the U.S. food system and immigration; the significant disparities in food insecurity and diet-related illness experienced by communities of color; and emerging ideas for how to establish a more equitable food system.",,SSAD 40550,,
SSAD 25005,Inequality at Work: The Changing Nature of Jobs and Prospects for Improvement. 100 Units.,"This course will consider sources of inequality in the labor market and in workplaces. Empirical evidence and theory on labor markets and job conditions will be analyzed to provide insights into the changing nature of work and workplace inequality for the majority of Americans -- who do not hold a four-year college degree. Although the course will consider ways to ready workers for good jobs in the economy, the emphasis will be on improving jobs themselves, through voluntary employer behavior, collective action, and public policy. The assignment for the course involves observing and/or interviewing workers in an occupation chosen by the student.",TBD,PBPL 25005,,Susan Lambert
SSAD 25630,"Poverty, Work, and Family Policy. 100 Units.","This course examines contemporary policy questions regarding the dual spheres of work and family life, with a particular focus on economically impoverished families and communities. Students will analyze the relative merits of different policies designed to improve the conditions of work and family life and mitigate the effects of poverty on children's wellbeing. Throughout the ten-week quarter, we will consider demographic, labor market, and policy trends contributing to family poverty and income inequality in American society; interrogate policy debates concerning the responsibility of government, corporate, and informal sectors to address these critical social problems; and examine specific policy and program responses directed at (1) improving employment and economic outcomes and (2) reconciling the competing demands of employment and parenting. Although our primary focus will be on policies that promote the wellbeing of low-income families in the United States, relevant comparisons will be made cross-nationally, across race/ethnicity, and across income. This course is part of the Inequality, Social Problems, and Change minor.",,"SSAD 45630, CRES 25630, PBPL 25630",,
SSAD 25004,Punishment and Social Theory. 100 Units.,"How is the power to punish derived? How has the role of punishment been conceived? What do the practices of punishment produce? What do they tell us about ourselves? Are there alternatives? Taking up these questions, the course outlines major theories of punishment advanced by political philosophers, penologists and scholars who study the role of punishment in society, tracing the trajectory of our modern impulse to punish ""wrong doers."" We will interrogate the shifting terrain of crime control policy and attend to the ways that prison reformers, scholars, and activists have sought to bring about change. We examine the political economy, culture, and consequences of punishment through readings on the carceral state and conclude by raising new questions about punishment and its alternatives in the age of mass incarceration.",TBD,"HMRT 25004, PBPL 25004",,
SSAD 27452,Smart Decarceration: A Grand Challenge for Social Work. 100 Units.,"The United States has the highest rate of incarceration in the world, and inequities in the use of incarceration yield a high burden on people of color, people in poverty, and people with behavioral health conditions. Evidence indicates that mass incarceration has reached a tipping point, and that the U.S. is entering an era of decarceration. The grand challenge of this new era will be to move away from incarceration-based thinking and toward an array of proactive policy, practice, and research innovations that will not only substantially reduce the incarcerated population, but also ameliorate social disparities and maximize public safety and well-being. This course, which is connected to the ""Promote Smart Decarceration"" Grand Challenge for Social Work, will provide opportunities for students to: 1) Explore the political, social, and empirical context for decarceration; 2) Examine emerging decarceration policies and practices; 3) Develop interventions at multiple levels to achieve smart decarceration outcomes.",,SSAD 47452,,
PBPL 23300,"Justice, Equity, and Opportunity: Shifting Approaches to Criminal Justice Reform. 100 Units.","The events revolving the death of George Floyd have proliferated the discourse about the criminal justice system in the United States, including the role of police and incarceration. Historically, this public discourse has been dominated mostly by media and political advocacy, with the balance of evidence-based policy solutions and political acumen receiving relatively short shrift. In this practicum, students will be trained to approach these issues from the perspective of a senior criminal justice policymaker in government who has practiced multiple theories of change, from community organizing to litigation. In turn, we will develop criminal justice policy intelligence and knowledge on the history, core themes, debates, and concepts, such as the movement to defund the police, abolish the cash bail system, and decriminalize drugs. The discussions will allow students to interrogate the extent to which efforts have been successful, imagine new strategies in the future, and learn from additional visiting guests, including politicians, community organizers, academics, artists, and formerly incarcerated individuals. We will exit with a sophisticated understanding of the skills and tools necessary to handle criminal justice policy problems raising complex legal, political and social questions.",Winter,,,"Rallins, Quinn"
